dataset,metric,value,calculation,evidence,status,source,note
user_journey,PRICING,UNMEASURED,,,,"[UX] ""I can't differentiate what each plan does"" · [CODE] Premium ⊇ Rank Booster, Vettri ⊉ Rank Booster, Mock Pack unlocks neither · [PROD] two plans' checkouts opened 12 seconds apart","Current: Five price points across four ledger plan keys, with genuinely non-obvious entitlement overlap. No public page. No social proof. | Problem: The user cannot tell the plans apart, and there is no view event, so nobody knows how many even get here. | Metric: DATA NOT AVAILABLE — pricing_viewed not instrumented on PricingCards | Fix: One-line differentiator per plan, a default recommendation, and a pricing_viewed event. | Flaws: #1 #2 #11 #13"
user_journey,CHECKOUT,MAJOR,,,,"[UX] tested to the final payment step — works · [PROD] 20 created rows, oldest unresolved 79 days","Current: Works. Verified to the final payment step on a real device. 11 people, 21 price-accepted attempts. | Problem: Not a defect — a demand problem. 20 of 21 attempts are abandoned and nothing follows up. | Metric: 11 people · 21 attempts · 1 completed (9.1% of people, 4.8% of attempts) | Fix: Do not rebuild checkout. Build recovery. | Flaws: #2 #9"
user_journey,PAYMENT,TERMINAL,,,,"[PROD] 0 failed payments · [PROD] 4 paid records, 3 staff comps at ₹0","Current: Razorpay with HMAC verification, idempotency and server-side re-fetch. Zero failures in 83 days. | Problem: None technically. Commercially: 1 transaction, ₹899, founder-generated. | Metric: ₹899 all-time · ₹0 externally generated | Fix: None to the rail. Everything upstream. | Flaws: #8"
user_journey,RETENTION,UNMEASURED,,,,[CODE] no subscription_renewed / expired / cancelled event exists,"Current: No post-purchase loop exists to observe, because there is no paying cohort to retain. | Problem: Renewal and expiry are computed on read, never written as events — churn would be unmeasurable even if there were customers. | Metric: DATA NOT AVAILABLE | Fix: Write plan lifecycle events now, so the first real cohort is measurable from day one. | Flaws: #6 #13"
user_journey,REFERRAL,UNUSED ASSET,,,,"[PROD] 0 redemptions in 83 days · [UX] ""Where to get the coupon codes""","Current: A complete coupon and promoter system, including per-promoter revenue tracking, fully built and never used once. | Problem: There is no discoverable path to a coupon code inside the product. | Metric: 0 redemptions · 0 coupon-attributed revenue | Fix: Surface the code entry, then recruit promoters. This is a recruitment problem, not a build. | Flaws: #9"
root_cause,LOW REVENUE,FACT,,,FACT,,₹899 all-time · ₹0 externally generated · 0 external customers in 83 days
root_cause,Low conversion,FACT,LOW REVENUE,,FACT,,"11 people reached checkout, 1 bought (founder-generated). 366 signups in 30 days → 0 paid."
root_cause,Weak value perception,HYPOTHESIS,Low conversion,,HYPOTHESIS,Flaw #1,Strongest available explanation. Supported by walkthrough (n=1) and consistent with all three funnel losses — not independently verified.
root_cause,Pricing complexity,OBSERVATION,Low conversion,,OBSERVATION,Flaw #2,Entitlement overlap is code-confirmed FACT. That it suppresses conversion is an observation supported by the 12-second cross-plan checkout.
root_cause,Weak trust,FACT,Low conversion,,FACT,Flaw #1,"Zero testimonials, ratings or user counts anywhere on the acquisition or pricing surfaces."
root_cause,Expired offer,FACT,Low conversion,,FACT,Flaw #3,"Offer expired 31 Aug 2026, still visible 5 Sep on the dedicated paid-ads landing page."
root_cause,"Price resistance at ₹1,699",HYPOTHESIS,Low conversion,,HYPOTHESIS,Flaw #2,Competes with pricing complexity as the explanation for premium_annual's 0/12. The two fit the data equally well and are not separable without instrumentation or interviews.
root_cause,Low activation,FACT,LOW REVENUE,,FACT,,337 of 682 registered users (49.4%) never start a single test.
root_cause,Poor orientation,OBSERVATION,Low activation,,OBSERVATION,Flaw #4,"""I don't know what is so necessary and what should I do now."" Walkthrough n=1; the 337 outcome is FACT."
root_cause,Navigation friction,OBSERVATION,Low activation,,OBSERVATION,Flaw #4,3–4 taps between entry and the only thing that delivers value.
root_cause,Popup overload,OBSERVATION,Low activation,,OBSERVATION,Flaw #4,Five competing entry modals confirmed in code; the felt experience is walkthrough evidence.
root_cause,Low retention,FACT,LOW REVENUE,,FACT,,270 of 286 completers (94.4%) never returned. 16 of 682 have ever had two active days.
root_cause,Weak habit loop,OBSERVATION,Low retention,,OBSERVATION,Flaw #6,Nothing in the product creates a reason to open it tomorrow.
root_cause,Poor content surfacing,OBSERVATION,Low retention,,OBSERVATION,Flaw #7,Current Affairs images not loading; Kural of the Day has no prompt; the free tier is under-communicated.
root_cause,Partial effort not reinforced,FACT,Low retention,,FACT,Flaw #6,"Streaks, XP and badges are written exclusively by submit_test. Answer 20 questions and quit, earn nothing. (Registered P3-5; carried in because it is a retention mechanism, not code debt.)"
root_cause,Measurement gaps,FACT,LOW REVENUE,,FACT,,"Several conclusions above cannot currently be confirmed or refuted, because the data to do so does not exist."
root_cause,Attribution,FACT,Measurement gaps,,FACT,Flaw #12,No utm_source / medium / campaign / referrer column exists anywhere in the schema.
root_cause,Event tracking,FACT,Measurement gaps,,FACT,Flaw #13,Paid-format abandonment cannot be logged; Google signups are not counted as signups; pricing views are not instrumented.
root_cause,Feedback,FACT,Measurement gaps,,FACT,Flaw #14,"6 ratings, 0 words, from 682 users. No qualitative signal exists in the system at all."
root_cause,Incomplete funnel,FACT,Measurement gaps,,FACT,Flaw #13,No visitor store and no pricing-view event — the funnel has neither a top nor a valid checkout denominator.
fix_sequence,PHASE 1 — CONVERSION FOUNDATION,1,Flaw #3,,,,"Retire the expired promotional offer and make expiry automatic | Certain evidence, trivial effort, actively working against live ad traffic right now."
fix_sequence,PHASE 1 — CONVERSION FOUNDATION,2,Flaw #2,,,,Make the plans distinguishable in five seconds | Code-confirmed entitlement overlap plus direct production evidence of comparison-shopping at the payment window.
fix_sequence,PHASE 1 — CONVERSION FOUNDATION,3,Flaw #1,,,,"Deliver the value moment before the first upsell | Highest expected impact, lowest certainty about mechanism. Ships with instrumentation so it can be judged."
fix_sequence,PHASE 2 — ACTIVATION,4,Flaw #4,,,,"Rebuild the first-run experience: one question, one action | Sequence the five competing entry modals; cut the tap count to the first test."
fix_sequence,PHASE 2 — ACTIVATION,5,Flaw #5,,,,Instrument and move signup → first-test-start | The metric this phase is judged on. Baseline 50.6%.
fix_sequence,PHASE 2 — ACTIVATION,6,Flaw #7,,,,Fix Current Affairs images and surface the free tier and Kural of the Day | A content defect sits directly on the daily-return hook.
fix_sequence,PHASE 3 — RETENTION,7,Flaw #6,,,,"Build a return loop, and reward partial effort | Currently the habit system reinforces only completed tests."
fix_sequence,PHASE 3 — RETENTION,8,Flaw #9,,,,"Turn on checkout recovery and make coupon codes discoverable | 11 warm, price-accepted prospects and an entire promoter system sitting unused."
fix_sequence,PHASE 4 — MEASUREMENT,9,Flaw #13,,,,"Close the event-tracking gaps | Pricing views, paid-format abandonment, Google signups, plan lifecycle events, premiumActive across all five plans."
fix_sequence,PHASE 4 — MEASUREMENT,10,Flaw #12,,,,Capture acquisition attribution at signup | Persist first-touch and last-touch source through signup → payment.
fix_sequence,PHASE 4 — MEASUREMENT,11,Flaw #14,,,,"Redesign the feedback instrument to collect reasons, not only scores | 6 ratings and 0 words is not a satisfaction measurement."
fix_sequence,PHASE 5 — ACQUISITION SCALE,12,Flaw #10,,,,"Build the organic discovery surface | Per-product indexable landing pages, per-route metadata, topic content."
fix_sequence,PHASE 5 — ACQUISITION SCALE,13,Flaw #11,,,,"Make the product and its price publicly visible | A rankable, forwardable pricing page; confirm and complete app-store presence."
kpi_model,Externally-acquired paying customers,0,0 / 682,,DEFINITIONAL,Flaw #8,"Target: > 0 | Period: Continuous | Criteria: One person who was not staff, not the founder, and not a founder-side referral pays real money. This is the single success criterion for the entire Phase 1 effort."
kpi_model,Expired offers visible in production,"1 (Rank Booster, expired 31 Aug 2026)",manual + automated expiry check,,DEFINITIONAL,Flaw #3,"Target: 0 | Period: Continuous | Criteria: No offer whose deadline has passed is rendered anywhere. Enforced by an expiry check, not by a person remembering."
kpi_model,Signup → first test start,50.6%,345 / 682,,EXPERIMENT,Flaw #5,"Target: BASELINE FIRST — TARGET TO BE SET AFTER EXPERIMENT | Period: Weekly cohort, 30 days post-change | Criteria: Measured on signup cohorts AFTER the change ships, never against the lifetime blended figure — the base is growing too fast for a blended number to move visibly."
kpi_model,Signup → first test completion,41.9%,286 / 682,,EXPERIMENT,Flaw #5,"Target: BASELINE FIRST — TARGET TO BE SET AFTER EXPERIMENT | Period: Weekly cohort, 30 days post-change | Criteria: Same cohorting rule."
kpi_model,D1 / D3 / D7 / D14 / D30 retention,DATA NOT AVAILABLE,requires cohorted daily_activity by signup week,,DEFINITIONAL,Flaw #6,Target: Instrumented and reported weekly | Period: From first report | Criteria: The target is the existence of the measurement. No retention percentage target can be responsibly set before the curve has been seen once.
kpi_model,"Return rate (2+ active days, completers)",5.6%,16 / 286,,EXPERIMENT,Flaw #6,"Target: BASELINE FIRST — TARGET TO BE SET AFTER EXPERIMENT | Period: 30-day cohort | Criteria: Must be re-baselined against a broadened ""active"" definition first — the current figure is a floor, so any improvement would be partly a measurement artefact."
kpi_model,Pricing-view → checkout-start rate,UNMEASURABLE — no pricing_viewed event,n/a,,DEFINITIONAL,Flaw #13,"Target: Measurable | Period: From instrumentation | Criteria: The checkout stage of the funnel acquires a denominator. Until then, no conversion claim about the pricing screen can be evaluated."
kpi_model,Paid formats logging abandonment,0 of 4,"Mock, Vettri, Rank Booster, Test Series",,DEFINITIONAL,Flaw #13,"Target: 4 of 4 | Period: From instrumentation | Criteria: A quit inside paid content produces a row. Precondition for ever answering ""do paying customers finish what they bought""."
kpi_model,premiumActive plan coverage,1 of 5 plans,revenue_metrics.sql filters plan = 'premium_annual',,DEFINITIONAL,Flaw #13,Target: 5 of 5 | Period: Immediate | Criteria: The founder's headline paid-user figure counts every paying customer.
kpi_model,Signups carrying an acquisition source,0%,0 / 682 — no column exists,,DEFINITIONAL,Flaw #12,"Target: 100% of NEW signups | Period: From instrumentation | Criteria: Every new profile row carries first-touch source, medium, campaign, referrer and landing page, and that source survives through to the payments row. Historical attribution is unrecoverable and is not part of this target."
kpi_model,Coupon redemptions,0,0 in 83 days,,EXPERIMENT,Flaw #9,"Target: BASELINE FIRST — TARGET TO BE SET AFTER EXPERIMENT | Period: 30 days after the code path is discoverable | Criteria: Split the metric: (a) can users find where to enter a code, (b) do promoters exist to hand codes out. Today both are zero and they are being measured as one number."
kpi_model,Abandoned-checkout recovery rate,UNMEASURABLE — no recovery mechanism exists,n/a,,EXPERIMENT,Flaw #9,"Target: Measurable, then BASELINE FIRST | Period: 30 days after recovery ships | Criteria: A recovered payment is attributable to the recovery mechanism. NOTE: recovery is a product mechanism. No user is to be contacted as part of this audit."
kpi_model,Feedback response rate,0.88%,6 / 682,,EXPERIMENT,Flaw #14,Target: BASELINE FIRST — TARGET TO BE SET AFTER EXPERIMENT | Period: 30 days after the prompt is redesigned | Criteria: Response rate alone is not the goal — see the next row.
kpi_model,Feedback responses carrying written text,0,0 / 6,,DEFINITIONAL,Flaw #14,Target: > 0 | Period: 30 days after redesign | Criteria: At least one free-text answer explaining a rating. Today the system contains zero words of user opinion.
kpi_model,Indexable product pages,5 sitemap URLs (home + 4 legal),sitemap.xml,,EXPERIMENT,Flaw #10,"Target: BASELINE FIRST — TARGET TO BE SET AFTER EXPERIMENT | Period: 90 days after publication | Criteria: Judge on organic sessions and ranked queries, not on page count. Page count is an output, not an outcome."
plan_30_60_90,Days 1–30 — establish value and make the funnel measurable,1,,,,,"Ship Flaw #3 (expired offer) — trivial, certain, and live on the ads landing page right now."
plan_30_60_90,Days 1–30 — establish value and make the funnel measurable,2,,,,,"Ship Flaw #2 (plan clarity) — one-line differentiators, a comparison matrix generated from the entitlement source, and a default recommendation. No price changes."
plan_30_60_90,Days 1–30 — establish value and make the funnel measurable,3,,,,,Ship Flaw #1 (value before paywall) — route the first session through Revision/Insights and gate the upsell on a real signal.
plan_30_60_90,Days 1–30 — establish value and make the funnel measurable,4,,,,,Ship pricing_viewed from PricingCards (part of Flaw #13). Without it none of the above can be evaluated.
plan_30_60_90,Days 1–30 — establish value and make the funnel measurable,5,,,,,"Run the four outstanding read-only queries: cohorted retention, engagement distribution, the abandoner crossover, and the role breakdown."
plan_30_60_90,Days 1–30 — establish value and make the funnel measurable,6,,,,,"Get the two pending founder answers: app-store publication status, and identifiers for the internal customer and founder-side referral."
plan_30_60_90,Days 1–30 — establish value and make the funnel measurable,7,,,,,"DECISION FOR THE FOUNDER, NOT AN AUDIT ACTION: whether to ask the 11 abandoned-checkout users what stopped them. It is the fastest available route to separating plan confusion from price resistance. No user has been contacted by this audit."
plan_30_60_90,Days 31–60 — activation and return,1,,,,,"Ship Flaw #4 (first-run experience) and Flaw #5 (activation measurement), which overlap heavily."
plan_30_60_90,Days 31–60 — activation and return,2,,,,,"Ship Flaw #7 (Current Affairs images, free-tier communication, Kural surfacing)."
plan_30_60_90,Days 31–60 — activation and return,3,,,,,"Ship Flaw #6 measurement first: broaden the active definition, re-baseline, and report both definitions in parallel."
plan_30_60_90,Days 31–60 — activation and return,4,,,,,Ship Flaw #12 (attribution capture) so that any future acquisition effort is measurable. Every day of delay is another day of permanently unrecoverable history.
plan_30_60_90,Days 31–60 — activation and return,5,,,,,"Ship the remaining Flaw #13 items: Google signup tracking, paid-format abandon beacon, premiumActive across all five plans."
plan_30_60_90,Days 31–60 — activation and return,6,,,,,Ship Flaw #9 recovery TRACKING (not yet recovery action) and make coupon entry discoverable.
plan_30_60_90,Days 61–90 — only if external conversion has moved off zero,1,,,,,"GATE: if externally-acquired paying customers is still 0, do not proceed to acquisition scale. Return to Phase 1 with the instrumentation that now exists and diagnose properly."
plan_30_60_90,Days 61–90 — only if external conversion has moved off zero,2,,,,,Ship Flaw #6 product changes: the return loop and partial-effort reinforcement.
plan_30_60_90,Days 61–90 — only if external conversion has moved off zero,3,,,,,Ship Flaw #14 (feedback redesign) and obtain Clarity access.
plan_30_60_90,Days 61–90 — only if external conversion has moved off zero,4,,,,,"Ship Flaw #11 (public pricing page) and, conditional on the founder's answer, app-store work."
plan_30_60_90,Days 61–90 — only if external conversion has moved off zero,5,,,,,"Begin Flaw #10 (SEO landing pages) — the longest-horizon item, deliberately last."
plan_30_60_90,Days 61–90 — only if external conversion has moved off zero,6,,,,,"Re-run this entire verification against a real paying cohort, and finally test the activation-threshold hypothesis that has been untestable throughout."
data_quality,WHAT WE KNOW 1,,,,KNOWN,,"Exactly how many people registered, started a test, completed a test, returned, reached checkout and paid — all from direct read-only SELECTs against production."
data_quality,WHAT WE KNOW 2,,,,KNOWN,,"That acquisition grew every full month measured: 226 in July, 396 in August, and 366 in the last 30 days."
data_quality,WHAT WE KNOW 3,,,,KNOWN,,That zero of those 366 recent signups paid anything.
data_quality,WHAT WE KNOW 4,,,,KNOWN,,"That the payment rail works: 0 failures in 83 days, HMAC verification, idempotency and a server-side re-fetch before crediting."
data_quality,WHAT WE KNOW 5,,,,KNOWN,,That signup works: verified by walkthrough and by the founder.
data_quality,WHAT WE KNOW 6,,,,KNOWN,,That checkout works: tested to the final payment step on a real device.
data_quality,WHAT WE KNOW 7,,,,KNOWN,,"That the five-plan entitlement overlap is real, because it was read directly in the pricing and entitlement code."
data_quality,WHAT WE KNOW 8,,,,KNOWN,,That the promotional offer on the paid-ads landing page expired on 31 Aug 2026 and was still visible on 5 Sep.
data_quality,WHAT WE KNOW 9,,,,KNOWN,,That no acquisition-source column exists anywhere in the schema.
data_quality,WHAT WE KNOW 10,,,,KNOWN,,"That three of the four paid records are staff comps, and the fourth was founder-generated."
data_quality,WHAT WE DON'T KNOW 1,,,,UNKNOWN,,"How many visitors the site gets, or ever got. There is no server-side pageview store."
data_quality,WHAT WE DON'T KNOW 2,,,,UNKNOWN,,"Where any user came from. No UTM, medium, campaign or referrer data exists for any historical period — this is unrecoverable, not merely unqueried."
data_quality,WHAT WE DON'T KNOW 3,,,,UNKNOWN,,How many of the 682 ever saw a pricing screen. pricing_viewed is not instrumented on PricingCards.
data_quality,WHAT WE DON'T KNOW 4,,,,UNKNOWN,,What retention actually looks like by cohort. D1/D3/D7/D14/D30 have not been run.
data_quality,WHAT WE DON'T KNOW 5,,,,UNKNOWN,,Whether the 11 checkout users overlap with the 16 returners.
data_quality,WHAT WE DON'T KNOW 6,,,,UNKNOWN,,Whether any of the 11 abandoners later converted.
data_quality,WHAT WE DON'T KNOW 7,,,,UNKNOWN,,Why users abandon paid tests — paid formats cannot log abandonment at all.
data_quality,WHAT WE DON'T KNOW 8,,,,UNKNOWN,,What users think. Six star ratings and zero words.
data_quality,WHAT WE DON'T KNOW 9,,,,UNKNOWN,,Anything from Microsoft Clarity — no access at any point across all three stages.
data_quality,WHAT WE DON'T KNOW 10,,,,UNKNOWN,,Whether the app is actually published on the Play Store or App Store.
data_quality,WHAT WE DON'T KNOW 11,,,,UNKNOWN,,How many of the 682 accounts are team accounts (beyond the 3 confirmed comps).
data_quality,WHAT WE DON'T KNOW 12,,,,UNKNOWN,,"The exact run date of the acquisition-trend query, which is why the monthly totals sum to 686 against a 682 baseline."
data_quality,CONFIRMED 1,,,,CONFIRMED,,0 externally-acquired paying customers in 83 days.
data_quality,CONFIRMED 2,,,,CONFIRMED,,337 of 682 registered users (49.4%) never start a test.
data_quality,CONFIRMED 3,,,,CONFIRMED,,270 of 286 test-completers (94.4%) never return on a second day.
data_quality,CONFIRMED 4,,,,CONFIRMED,,20 abandoned checkouts from 11 people; the oldest unresolved for 79 days; no recovery mechanism of any kind exists.
data_quality,CONFIRMED 5,,,,CONFIRMED,,"0 coupon redemptions in 83 days, against a fully-built promoter system."
data_quality,CONFIRMED 6,,,,CONFIRMED,,No acquisition attribution exists anywhere in the schema.
data_quality,CONFIRMED 7,,,,CONFIRMED,,An expired offer is live on the dedicated paid-ads landing page.
data_quality,CONFIRMED 8,,,,CONFIRMED,,Paid test formats cannot log abandonment.
data_quality,CONFIRMED 9,,,,CONFIRMED,,premium_annual draws 57% of all purchase attempts and has converted zero times.
data_quality,CONFIRMED 10,,,,CONFIRMED,,Acquisition grew month over month: 19 (17 days) → 226 → 396.
data_quality,CONFIRMED 11,,,,CONFIRMED,,"Streaks, XP and badges are written only by submit_test — partial effort earns nothing."
data_quality,CONFIRMED 12,,,,CONFIRMED,,Zero social proof exists on the landing or pricing surfaces.
data_quality,HYPOTHESIS 1,,,,HYPOTHESIS,,"That value is not established before the paywall is shown. This is the STRONGEST available explanation for non-payment, and it is still a hypothesis: it rests on a walkthrough of n = 1 plus consistency with all three funnel losses. It has not been independently verified."
data_quality,HYPOTHESIS 2,,,,HYPOTHESIS,,That plan indistinguishability suppresses conversion. Supported by the walkthrough and by one user opening two plans' checkouts 12 seconds apart. Not proven.
data_quality,HYPOTHESIS 3,,,,HYPOTHESIS,,"That price resistance at ₹1,699 explains premium_annual's 0-for-12. Competes directly with the hypothesis above; the two fit the data equally well and cannot be separated without instrumentation or user interviews."
data_quality,HYPOTHESIS 4,,,,HYPOTHESIS,,That popup overload and tap count materially suppress activation. The 337 outcome is fact; attributing it to these specific causes is not.
data_quality,HYPOTHESIS 5,,,,HYPOTHESIS,,That the free tier being under-communicated costs conversion. Walkthrough observation only.
data_quality,DISPROVED: Checkout is broken,,,,DISPROVED,,Walkthrough tested it to the final payment step on a real device. It works. This was the leading hypothesis going into Stage 3 and it failed.
data_quality,DISPROVED: Payment infrastructure is failing,,,,DISPROVED,,0 failed payments in 83 days.
data_quality,DISPROVED: Signup friction causes the drop-off,,,,DISPROVED,,Signup verified working by walkthrough and founder. The 337 loss occurs AFTER a clean registration — which is exactly what makes it an orientation problem.
data_quality,DISPROVED: Frontend performance is a cause,,,,DISPROVED,,"~221 KB gzipped JS, hashed and immutably cached. Measured directly."
data_quality,DISPROVED: Consent gating suppresses analytics,,,,DISPROVED,,The banner was removed by product decision; trackers now fire for ~100% of web sessions. Stage 1's concern no longer applies.
data_quality,DISPROVED: The free tier is too generous,,,,DISPROVED,,"The walkthrough completed two full tests and still felt no urge to upgrade. That is absent value perception, not excess generosity."
data_quality,DISPROVED: The Active-Today timezone bug is urgent,,,,DISPROVED,,"Production returned identical values under UTC and IST (2 and 17). Real in code, currently harmless. Downgraded from P0 to P3."
data_quality,DISPROVED: Paying users are 8× more engaged than non-payers,,,,DISPROVED,,"RETRACTED. That comparison measured staff accounts building and testing the product. It is an artifact of internal usage, not buyer behaviour, and must not be cited."
data_gap,Visitor / top-of-funnel volume,Only prospectively,,,DATA GAP,,No server-side pageview store
data_gap,Historical channel attribution,NO — permanently unrecoverable,,,DATA GAP,,No UTM/referrer column has ever existed
data_gap,Pricing-page view counts,Only prospectively,,,DATA GAP,,Not instrumented on PricingCards
data_gap,Paid-format abandonment,Only prospectively,,,DATA GAP,,record_abandoned_test is wired to the free engine only
data_gap,D1/D3/D7/D14/D30 cohort retention,"YES — data exists, run the query",,,DATA GAP,,Query not yet run
data_gap,Engagement distribution (is there an engaged core?),YES,,,DATA GAP,,Query not yet run
data_gap,Whether any of the 11 abandoners later converted,YES,,,DATA GAP,,Query not yet run
data_gap,Overlap between the 11 checkout users and the 16 returners,YES,,,DATA GAP,,Query not yet run
data_gap,Team/staff account count within the 682,YES,,,DATA GAP,,Role-breakdown query not yet run
data_gap,Weekly signup time series,YES,,,DATA GAP,,Only monthly totals supplied
data_gap,Qualitative user opinion,"Only prospectively, after the feedback instrument is redesigned",,,DATA GAP,,"6 ratings, 0 written responses"
data_gap,"Clarity behavioural data (scroll depth, rage clicks, quick-backs, device split)",YES — needs a login,,,DATA GAP,,No access in any stage
data_gap,App-store publication status,YES — one answer,,,DATA GAP,,Awaiting founder answer
data_gap,Identifiers for the internal customer and founder-side referral,YES,,,DATA GAP,,Awaiting founder
data_gap,Exact run date of the acquisition-trend query,YES — re-run with a timestamp,,,DATA GAP,,Not recorded; monthly totals sum to 686 vs a 682 baseline
evidence_tag,PROD,Production database,,,,,Measured directly in the production Postgres database through read-only SELECT statements. No write of any kind was issued.
evidence_tag,CODE,Source code / schema,,,,,"Read from a read-only clone of the application repository, including the src/, server/ and supabase/ trees."
evidence_tag,UX,First-time-user walkthrough,,,,,"A single guided session on a real device by a non-aspirant tester. n = 1. Strong for finding friction, weak for measuring how common it is."
evidence_tag,EXT,External / public audit,,,,,"Public HTTP, sitemap, robots.txt, page source, search results, app-store search and social profiles. Nothing required a login."
evidence_tag,FOUNDER,Founder-confirmed,,,,,"Stated directly by the founder — used for facts only they can supply, such as which accounts are staff."
evidence_tag,DERIVED,Derived arithmetic,,,,,Computed in this report from tagged figures above. The calculation is always shown alongside the result.
evidence_tag,GAP,Data not available,,,,,"The figure does not exist, or exists somewhere this audit could not reach. Never estimated, never filled in."
methodology_source,Production database (read-only),"Read-only SELECT, snapshot 5 Sep 2026 19:01 IST + a later acquisition query",,,,"All baseline counts, funnel stages, payments ledger, plan-wise demand, retention counts, feedback ratings, acquisition trend","Limits: No writes were issued at any point. Some queries (cohort retention, engagement distribution, abandoner crossover) have not been run."
methodology_source,Codebase (read-only clone),"Full src/, server/, supabase/ trees",,,,"Entitlement rules, pricing constants, event instrumentation, schema search, metric definitions, habit-loop writers, feedback-prompt gating",Limits: The clone reflects a point in time; production may have moved since.
methodology_source,First-time-user walkthrough,"One guided session, real device",,,,"Orientation, tap counts, popup load, plan comprehension, value moment, coupon discoverability, Current Affairs images, checkout verification","Limits: n = 1, conducted by a non-aspirant. Exam-category comprehension findings should be explicitly discounted. Strong for existence, useless for prevalence."
methodology_source,External / public audit,Public HTTP only,,,,"Sitemap, per-route metadata, search visibility, competitor set, app-store search, social reach, bundle size, robots.txt, structured data",Limits: A search that does not find a listing is not proof the listing does not exist.
methodology_source,Founder-provided context,Direct statement,,,,Which paid accounts are staff; that the single revenue-bearing customer was internally generated,Limits: Identifiers for the internal customer and the founder-side referral are still pending.
methodology_source,Microsoft Clarity,None,,,,"NOTHING — no access at any point across Stages 1, 2 or 3","Limits: Clarity is loaded as a GTM container tag rather than called from the codebase, so even its firing rules live outside the repository. No behavioural inference anywhere in this report is drawn from Clarity."
production_safety,Assertion 1,TRUE,,,READ-ONLY,,No production code was modified.
production_safety,Assertion 2,TRUE,,,READ-ONLY,,No production database was modified.
production_safety,Assertion 3,TRUE,,,READ-ONLY,,"No INSERT, UPDATE, DELETE, UPSERT, MERGE, ALTER, CREATE, DROP or TRUNCATE was executed."
production_safety,Assertion 4,TRUE,,,READ-ONLY,,"No tables, views or functions were created in production."
production_safety,Assertion 5,TRUE,,,READ-ONLY,,No migrations were run.
production_safety,Assertion 6,TRUE,,,READ-ONLY,,No RLS policy was changed.
production_safety,Assertion 7,TRUE,,,READ-ONLY,,"No Supabase, Razorpay, analytics or Clarity configuration was changed."
production_safety,Assertion 8,TRUE,,,READ-ONLY,,"No user, payment or coupon record was touched."
production_safety,Assertion 9,TRUE,,,READ-ONLY,,"No message, email or WhatsApp was sent to any user — including the 11 abandoned-checkout prospects."
production_safety,Assertion 10,TRUE,,,READ-ONLY,,Nothing was deployed.
production_safety,Assertion 11,TRUE,,,READ-ONLY,,Every calculation in this dashboard was performed locally from read-only query output.
production_safety,Assertion 12,TRUE,,,READ-ONLY,,"Where a figure was unavailable it is shown as DATA NOT AVAILABLE. No metric was estimated, interpolated or invented."
